55.863625,-3.167939,47,"Roslin"
55.88295,-3.118962,47,"Lasswade"
56.076542,-2.640983,47,"Bass Rock"
55.935359,-3.032894,47,"Inveresk"
55.9385275,-3.1736702,46,"Southside"
55.9533,-3.1115,45,"Regent Street"
55.950135,-3.200252,45,"Nor' Loch"
55.949616,-3.191541,44,"Old Tolbooth"
55.9582,-3.195,44,"Drummond Place"
55.9458711,-3.1740706,44,"Salisbury Crags"
55.9337616,-3.1381701,44,"Craigmillar"
55.9409752,-3.1985839,43,"Bruntsfield Links"
55.8956657,-3.2181884,43,"Swanston"
55.9357079,-3.1994664,43,"Marchmont"
55.9497277,-3.179842,43,"Moray House"
55.943878,-3.190096,43,"George Square"
55.9564,-3.2023,42,"Howe Street"
55.96203,-3.185319,41,"Botanic Gardens"
55.854994,-3.168479,40,"Roslin"
55.9130118,-3.1662543,40,"Liberton"
55.916667,-3.5,40,"West Lothian"
55.953386,-3.196522,39,"Royal Society of Edinburgh"
55.989794,-3.484182,39,"Abercorn"
55.9256551,-3.1407527,39,"Craigmillar Castle"
55.9482,-3.1945,39,"West Bow"
55.953122,-3.171594,38,"Holyrood Abbey"
55.9621503,-3.157605,38,"Lochend"
55.9535,-3.1973,37,"Hanover Street"
55.9061733,-3.1350085,37,"Gilmerton"
55.9526,-3.193,37,"Prince's Street"
55.9518,-3.1985,37,"Prince's Street"
55.948839,-3.190969,36,"Parliament Hall"
55.9568,-3.1994,36,"Northumberland Street"
55.952389,-3.193253,36,"Scott Monument"
55.953068,-3.171544,36,"Chapel Royal"
55.9476,-3.2062,36,"Lothian Road"
55.9592,-3.2059,36,"Clarence Street"
55.9442,-3.1893,35,"George Square"
55.9713728,-3.1839339,34,"Bonnington"
55.9478369,-3.1654679,34,"Hunter's Bog"
55.855372,-3.15988,34,"Roslin Chapel"
55.9820556,-3.3744684,34,"Dalmeny"
55.9429,-3.1865,34,"Buccleuch Place"
55.9458235,-3.2474685,33,"Murrayfield"
55.9493396,-3.1905294,33,"St. Giles' Cathedral"
55.9313817,-3.1221785,33,"Niddry"
55.9313817,-3.1221785,33,"Niddrie"
55.9549011,-3.1820043,33,"National Monument"
55.9586,-3.1836,32,"Leith Walk"
55.852585,-3.160021,32,"Roslin Castle"
55.9563,-3.1902,32,"York Place"
